ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1778 1778 	426 426 	1778 1778 	53 53 	34 34 
ENST00000451608 	ENST00000409601 	4861 	596 	4861 	596 	53 	53 
ENST00000554411 	ENST00000290219 ENST00000439213 ENST00000381995 ENST00000545369 ENST00000405436 ENST00000576463 ENST00000572016 ENST00000573079 ENST00000573887 ENST00000571550 	216 	1076 733 597 398 558 1076 733 597 398 558 	216 	1076 733 597 398 558 1076 733 597 398 558 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000547992 	ENST00000202773 ENST00000424576 ENST00000546368 ENST00000551041 ENST00000552455 ENST00000550566 ENST00000549847 ENST00000551291 ENST00000553213 ENST00000549562 ENST00000548343 ENST00000489915 	1783 	171 302 165 135 299 650 225 455 198 144 412 116 	1783 	171 302 165 135 299 650 225 455 198 144 412 116 	52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000476487 	ENST00000506339 ENST00000355836 ENST00000514633 ENST00000515193 ENST00000506259 ENST00000504898 	2059 	1543 1411 1403 1391 1476 1594 	2059 	1543 1411 1403 1391 1476 1594 	53 	53 53 53 53 53 53 
ENST00000587935 	ENST00000579815 	121 	539 	124 	539 	47 	52 
ENST00000603274 	ENST00000435618 ENST00000481283 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000445610 ENST00000450871 ENST00000471639 ENST00000469883 ENST00000437866 	2 	329 244 357 313 244 275 329 244 263 401 	2 	329 244 357 313 244 275 329 244 263 401 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000336715 	ENST00000368873 ENST00000529142 	4772 	3181 2445 	4781 	3181 2445 	43 	53 53 
ENST00000592379 	ENST00000582736 	38 	125 	38 	125 	53 	35 
ENST00000407045 	ENST00000296674 	33 	3230 	33 	3230 	34 	53 
ENST00000540225 ENST00000256594 	ENST00000264896 	2305 2223 	3754 	2305 2223 	3754 	53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3006 2907 2661 	217 	3006 2907 2661 	217 	53 53 53 	53 
ENST00000518341 ENST00000474629 ENST00000460683 ENST00000532572 ENST00000554597 ENST00000556696 	ENST00000517720 	186 6593 7115 3855 310 339 	165 	186 6593 7115 3855 310 339 	165 	52 52 52 52 52 52 	34 
ENST00000570780 ENST00000391950 	ENST00000520547 	1106 1123 	278 	1106 1123 	278 	53 53 	53 
ENST00000405508 ENST00000262709 	ENST00000544248 	3720 3547 	1333 	3720 3547 	1333 	52 52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	798 331 349 215 213 554 354 386 354 331 	3482 	798 331 349 215 213 554 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 ENST00000498825 	1336 1464 	548 501 118 	1337 1465 	548 501 118 	52 52 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	827 360 383 378 384 385 383 360 	3482 	827 360 383 378 384 385 383 360 	52 	52 52 52 52 52 52 52 52 
ENST00000508814 	ENST00000510019 	304 	241 	304 	241 	50 	53 
ENST00000263801 ENST00000476454 ENST00000411772 ENST00000382039 ENST00000382044 ENST00000450115 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000460217 ENST00000438981 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	5712 1593 3347 5386 5602 5552 	5909 6453 6180 5910 6557 7324 6180 5915 6182 5910 2065 307 271 6180 6180 6180 6180 	5712 1593 3347 5386 5602 5552 	5909 6453 6180 5910 6557 7324 6180 5915 6182 5910 2065 307 271 6180 6180 6180 6180 	52 52 52 52 52 52 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000534030 	ENST00000530320 	415 	524 	415 	524 	53 	53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	279 210 	170 180 225 	279 210 	170 180 225 	53 53 	53 53 53 
ENST00000366582 	ENST00000323938 	8390 	1712 	8391 	1712 	52 	51 
ENST00000582963 	ENST00000584888 	1922 	24 	1922 	24 	53 	53 
ENST00000321826 	ENST00000590158 	1596 	962 	1596 	962 	53 	32 
ENST00000449131 	ENST00000263398 	3490 	3652 	3491 	3652 	52 	53 
ENST00000592379 	ENST00000582736 	41 	127 	41 	130 	53 	50 
ENST00000581821 	ENST00000513610 ENST00000515803 ENST00000274203 	1258 	6717 4612 4585 	1258 	6717 4612 4585 	53 	53 53 53 
ENST00000243045 	ENST00000317287 	2008 	2630 	2008 	2630 	51 	53 
ENST00000476192 ENST00000497426 ENST00000474698 	ENST00000508075 ENST00000557845 ENST00000586722 ENST00000458297 ENST00000481617 ENST00000604604 	5334 5334 5333 	303 234 1103 1021 3573 453 	5340 5340 5339 	303 234 1103 1021 3573 453 	47 47 47 	52 52 52 52 52 52 
ENST00000216254 ENST00000396512 	ENST00000337566 ENST00000431534 ENST00000432789 	2551 2621 	1172 1307 1463 	2551 2621 	1172 1307 1463 	53 53 	52 52 52 
ENST00000425901 	ENST00000336125 ENST00000550273 	3170 	2820 2820 	3170 	2820 2820 	39 	52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3470 	815 348 371 366 372 373 571 371 371 348 	3470 	815 348 371 366 372 373 571 371 371 348 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000528029 	ENST00000526334 ENST00000526945 	2056 	570 483 	2056 	570 483 	53 	53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	350 	1768 1768 	350 	1768 1768 	52 	44 44 
ENST00000216254 ENST00000396512 	ENST00000432789 	2596 2666 	1461 	2596 2666 	1461 	53 53 	53 
ENST00000373731 ENST00000599719 ENST00000601309 ENST00000461701 ENST00000314442 ENST00000460357 ENST00000512439 ENST00000523960 ENST00000406386 ENST00000336470 ENST00000500337 ENST00000557893 ENST00000396128 ENST00000354500 ENST00000483404 ENST00000422090 ENST00000352066 ENST00000413454 ENST00000532860 ENST00000505868 ENST00000534754 ENST00000476404 ENST00000573545 	ENST00000300527 	4804 172 163 1825 3749 1114 4035 1590 9152 2120 2703 1323 4132 4243 395 2544 2653 2305 442 4966 683 175 175 	2647 	4804 172 163 1825 3749 1114 4035 1590 9152 2120 2703 1323 4132 4243 395 2544 2653 2305 442 4966 683 175 175 	2647 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000424491 ENST00000465095 	ENST00000434323 	1648 155 	659 	1648 155 	659 	53 53 	53 
ENST00000514253 	ENST00000511844 	492 	36 	492 	36 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1104 1121 	207 158 	1104 1121 	207 158 	53 53 	51 51 
ENST00000514253 	ENST00000511844 	500 	58 	500 	58 	53 	53 
ENST00000551944 ENST00000409562 ENST00000493254 ENST00000488088 ENST00000604604 ENST00000556347 ENST00000229465 	ENST00000394511 ENST00000355520 	3097 2716 2035 381 1069 721 865 	247 7515 	3109 2728 2047 393 1081 733 877 	248 7516 	40 40 40 40 40 40 40 	37 37 
ENST00000295767 ENST00000396914 ENST00000437690 	ENST00000009041 ENST00000434197 ENST00000471550 ENST00000396013 ENST00000440144 ENST00000453225 ENST00000429075 ENST00000544203 	682 500 219 	339 298 237 266 313 424 321 312 	682 500 219 	339 298 237 266 313 424 321 312 	53 53 53 	51 51 51 51 51 51 51 51 
ENST00000561643 	ENST00000523170 ENST00000523222 ENST00000522239 ENST00000424808 ENST00000262146 ENST00000517944 ENST00000458689 	1469 	96 96 96 91 91 47 45 	1473 	96 96 96 91 91 47 45 	47 	51 51 51 51 51 51 51 
ENST00000355209 ENST00000396504 	ENST00000446607 	2891 2612 	1897 	2891 2612 	1897 	52 52 	53 
ENST00000319863 ENST00000354286 ENST00000607016 ENST00000593704 ENST00000262293 ENST00000578542 ENST00000595369 	ENST00000361547 ENST00000374315 ENST00000354177 	3453 3069 2527 302 1474 1227 280 	3480 3361 3378 	3453 3069 2527 302 1474 1227 280 	3480 3361 3378 	53 53 53 53 53 53 53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	788 321 339 172 205 203 344 544 344 376 344 321 	3482 	788 321 339 172 205 203 344 544 344 376 344 321 	52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000368849 ENST00000392712 ENST00000368848 ENST00000353024 	ENST00000306480 ENST00000484363 ENST00000399151 ENST00000491452 ENST00000286186 ENST00000346817 ENST00000360132 ENST00000379521 ENST00000483423 ENST00000534529 ENST00000480241 ENST00000487302 ENST00000470703 ENST00000392845 ENST00000375771 ENST00000375766 ENST00000400773 ENST00000464396 ENST00000366299 	2583 2418 2505 2406 	5786 97 7156 97 3295 2878 3186 3362 97 486 97 97 97 8520 2301 2498 1866 97 14 	2583 2418 2505 2406 	5786 97 7156 97 3295 2878 3186 3362 97 486 97 97 97 8520 2301 2498 1866 97 14 	32 32 32 32 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000463943 	ENST00000335179 ENST00000545072 	286 	70 13 	286 	70 13 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	107 105 247 	3747 	107 105 247 	53 	53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	278 209 	136 146 191 150 	278 209 	136 146 191 150 	53 53 	43 43 43 43 
ENST00000517749 	ENST00000520733 ENST00000524128 	282 	224 475 	282 	224 475 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	283 214 	155 165 210 	283 214 	155 165 210 	53 53 	53 53 53 
ENST00000366559 ENST00000366557 	ENST00000462265 	4234 3861 	477 	4236 3863 	477 	48 48 	53 
ENST00000560723 	ENST00000559556 	408 	890 	408 	890 	51 	50 
ENST00000514253 	ENST00000511844 	492 	37 	492 	37 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3472 	813 346 369 364 370 371 569 369 401 369 346 	3472 	813 346 369 364 370 371 569 369 401 369 346 	49 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000411963 ENST00000450504 ENST00000426791 	ENST00000361436 ENST00000497825 ENST00000497322 ENST00000536368 	370 370 370 	52 52 52 20 	370 370 370 	52 52 52 20 	47 47 47 	52 52 52 52 
ENST00000592379 	ENST00000475608 	149 	9 	149 	9 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	96 94 236 	3747 	96 94 236 	53 	53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	183 142 	307 238 	183 142 	53 53 	51 51 
ENST00000361681 	ENST00000361567 	472 	1707 	472 	1707 	53 	52 
ENST00000314675 	ENST00000319041 	2089 	625 	2089 	644 	48 	33 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	101 99 241 	3759 	101 99 241 	52 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1124 1141 	255 	1124 1141 	255 	53 53 	52 
ENST00000511912 	ENST00000512699 ENST00000507213 	2944 	434 7 	2944 	434 7 	53 	53 53 
ENST00000314675 	ENST00000319041 	2121 	625 	2121 	625 	53 	52 
ENST00000430252 ENST00000540275 	ENST00000599232 	426 426 	72 	426 426 	72 	53 53 	51 
ENST00000449131 	ENST00000357164 	3743 	751 	3743 	751 	52 	53 
ENST00000489615 ENST00000392064 	ENST00000554052 	3820 3288 	194 	3837 3305 	214 	32 32 	33 
ENST00000449131 	ENST00000532601 ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3341 	421 801 334 352 218 216 358 357 389 357 334 	3341 	421 801 334 352 218 216 358 357 389 357 334 	52 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	508 	118 	508 	118 	53 	34 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000599364 	3784 	193 75 73 214 215 212 414 214 214 193 	3784 	210 92 90 231 232 229 431 231 231 210 	53 	35 35 35 35 35 35 35 35 35 35 
ENST00000592379 	ENST00000437246 	54 	83 	54 	83 	53 	53 
ENST00000581821 	ENST00000393045 ENST00000369298 ENST00000475261 ENST00000472114 	1240 	2442 2302 2220 1927 	1240 	2442 2302 2220 1927 	51 	53 53 53 53 
ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 	1433 1755 602 204 	769 722 	1433 1755 602 204 	769 722 	53 53 53 53 	53 53 
ENST00000559119 	ENST00000290271 	83 	3219 	83 	3219 	36 	53 
ENST00000314675 	ENST00000319041 	2110 	634 	2110 	634 	53 	53 
ENST00000429602 	ENST00000411432 	1905 	3783 	1905 	3791 	34 	42 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3490 	798 331 349 215 213 554 354 386 354 331 	3490 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	236 246 	278 	236 246 	53 	53 53 
ENST00000449131 	ENST00000444908 ENST00000518791 ENST00000357344 ENST00000441159 ENST00000411935 ENST00000409703 ENST00000411497 ENST00000425618 ENST00000450076 ENST00000427403 ENST00000422705 ENST00000291129 ENST00000456362 	3551 	1286 644 1270 1267 836 733 644 733 1284 1270 644 862 710 	3551 	1286 644 1270 1267 836 733 644 733 1284 1270 644 862 710 	43 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	33 	94 	33 	94 	53 	53 
ENST00000409887 	ENST00000262160 ENST00000402690 ENST00000586040 ENST00000356825 	2781 	1626 1769 1339 1682 	2781 	1626 1769 1339 1682 	32 	53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4152 	92 94 	4152 	92 94 	49 	53 53 
ENST00000576531 ENST00000527356 	ENST00000572434 ENST00000574244 ENST00000527853 ENST00000427600 ENST00000457822 ENST00000469891 ENST00000327878 	1693 1693 	181 1352 1352 291 302 307 302 	1701 1701 	181 1352 1352 291 302 307 302 	45 45 	51 51 51 51 51 51 51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	3777 	100 98 239 240 	3777 	100 98 239 240 	53 	53 53 53 53 
ENST00000329468 ENST00000307720 ENST00000553901 ENST00000255622 ENST00000496514 ENST00000461490 ENST00000337768 ENST00000491277 ENST00000324545 ENST00000262134 ENST00000566915 ENST00000531012 ENST00000565421 	ENST00000237380 ENST00000607016 ENST00000582365 ENST00000472855 ENST00000484949 ENST00000263256 ENST00000370389 ENST00000449584 ENST00000427104 ENST00000355011 ENST00000457265 ENST00000584445 ENST00000309822 ENST00000553724 ENST00000590000 ENST00000575402 ENST00000566295 ENST00000429276 	6542 1407 63 2740 2721 477 3134 4879 10383 2403 2301 129 1327 	4465 6235 2766 1487 357 2157 746 110 709 304 268 338 2692 2554 506 946 27 1318 	6558 1423 79 2756 2737 493 3150 4895 10399 2419 2317 145 1343 	5869 6235 2766 1487 357 2157 746 110 709 304 268 338 2692 2554 506 946 27 1318 	37 37 37 37 37 37 37 37 37 37 37 37 37 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3416 	784 335 168 201 199 340 340 372 340 	3416 	784 335 168 201 199 340 340 372 340 	52 	53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000601871 	ENST00000256689 ENST00000549258 	919 	3797 3585 	919 	3797 3585 	52 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	280 	208 218 	280 	208 218 	53 	53 53 
ENST00000508814 	ENST00000510019 	308 	249 	308 	249 	53 	50 
ENST00000463943 	ENST00000335179 ENST00000545072 	282 	70 13 	282 	70 13 	52 	53 53 
ENST00000592379 	ENST00000582736 	40 	98 	40 	98 	53 	53 
ENST00000592379 	ENST00000475608 	79 	25 	79 	25 	53 	51 
ENST00000592379 	ENST00000475608 	79 	34 	79 	34 	50 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3471 	786 337 170 203 201 342 542 342 374 342 	3471 	786 337 170 203 201 342 542 342 374 342 	50 	52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	509 	66 	509 	66 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000541076 ENST00000606320 	1094 1111 	5133 5348 	1094 1111 	5133 5348 	52 52 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	472 	173 132 	472 	173 132 	52 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3483 	805 338 361 356 222 220 362 561 361 393 361 338 	3483 	805 338 361 356 222 220 362 561 361 393 361 338 	51 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 	4177 	74 	4177 	74 	53 	53 
ENST00000454671 	ENST00000564601 ENST00000507437 	479 	848 453 	479 	848 453 	53 	53 53 
ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	369 1720 2028 466 4499 	1920 	380 1731 2039 477 4510 	1920 	42 42 42 42 42 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3490 	798 331 349 215 213 554 354 386 354 331 	3490 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000564663 ENST00000563294 ENST00000328914 ENST00000483979 ENST00000571626 	ENST00000465806 ENST00000356463 ENST00000461307 ENST00000429452 ENST00000366333 ENST00000539680 ENST00000479183 ENST00000397278 ENST00000319136 ENST00000422706 ENST00000426053 ENST00000498273 ENST00000586409 ENST00000440421 ENST00000513146 ENST00000352690 ENST00000283285 ENST00000599759 ENST00000598033 ENST00000607041 	330 223 7979 881 881 	199 150 3643 5728 268 3581 966 2075 2161 2053 1960 3263 3504 225 564 3803 3742 199 150 268 	330 223 7979 881 881 	199 150 3643 5728 268 3581 966 2075 2161 2053 1960 3263 3504 225 564 3803 3742 199 150 268 	53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	287 	225 235 	287 	225 235 	53 	52 52 
ENST00000482825 	ENST00000374379 ENST00000488683 	988 	1994 1969 	988 	1994 1969 	53 	52 52 
ENST00000430252 ENST00000540275 	ENST00000599232 	427 427 	57 	427 427 	57 	53 53 	52 
ENST00000350119 ENST00000564233 	ENST00000567705 	2000 3685 	706 	2000 3685 	706 	52 52 	53 
ENST00000343605 	ENST00000463135 ENST00000594336 	1914 	392 392 	1935 	411 411 	32 	33 33 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	77 75 217 	3749 	77 75 217 	51 	50 50 50 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000483598 ENST00000424633 ENST00000454660 ENST00000432393 ENST00000599500 	74 74 74 	119 238 238 238 238 	74 74 74 	119 238 238 238 238 	53 53 53 	53 53 53 53 53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	234 232 220 204 	88 	234 232 220 204 	88 	53 53 53 53 	53 
ENST00000514253 	ENST00000511844 	501 	37 	501 	37 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4163 	109 111 	4163 	109 111 	52 	52 52 
ENST00000358637 	ENST00000481617 ENST00000369500 	1273 	1912 3073 	1273 	1930 3091 	45 	35 35 
ENST00000519128 	ENST00000429930 	3029 	243 	3037 	252 	45 	31 
ENST00000560723 	ENST00000559556 	419 	901 	419 	901 	52 	53 
ENST00000354232 	ENST00000392385 ENST00000551944 ENST00000409562 ENST00000392857 	1388 	1120 3272 2891 5464 	1402 	1120 3272 2891 5464 	39 	53 53 53 53 
ENST00000514253 	ENST00000511844 	499 	134 	499 	134 	53 	53 
ENST00000520912 	ENST00000309166 	1788 	2943 	1788 	2943 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2225 2126 1880 	236 	2225 2126 1880 	236 	53 53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	79 22 	351 	79 22 	53 	51 51 
ENST00000451959 	ENST00000480198 ENST00000359543 ENST00000398546 	304 	1010 2364 1031 	304 	1010 2364 1031 	34 	53 53 53 
ENST00000430238 ENST00000425177 ENST00000452949 ENST00000416324 ENST00000419996 ENST00000400157 ENST00000426401 ENST00000439902 ENST00000440956 ENST00000443975 ENST00000425856 ENST00000422771 ENST00000375918 ENST00000375920 	ENST00000436569 ENST00000433726 ENST00000425568 ENST00000444557 ENST00000418840 ENST00000421991 ENST00000415170 ENST00000446133 ENST00000451042 ENST00000424221 ENST00000438641 ENST00000448278 ENST00000437771 	84 84 84 83 84 83 84 83 84 83 84 83 84 83 	57 24 57 24 57 24 57 24 57 24 57 24 57 	84 84 84 83 84 83 84 83 84 83 84 83 84 83 	57 24 57 24 57 24 57 24 57 24 57 24 57 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000601871 	ENST00000332896 ENST00000542893 ENST00000609189 ENST00000550030 ENST00000548330 	1421 	805 1019 477 501 1086 	1421 	805 1019 477 501 1086 	53 	39 39 39 39 39 
ENST00000600484 	ENST00000589892 	337 	614 	337 	626 	53 	41 
ENST00000321826 	ENST00000590158 	1596 	945 	1596 	945 	53 	49 
ENST00000512512 ENST00000295666 	ENST00000441246 	742 1136 	3681 	742 1136 	3681 	53 53 	53 
ENST00000409973 ENST00000412438 	ENST00000465716 	120 82 	856 	120 82 	856 	53 53 	33 
ENST00000563480 ENST00000395589 	ENST00000519737 	483 483 	966 	483 483 	966 	53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	76 19 	364 	76 19 	53 	53 53 
ENST00000467703 ENST00000509910 ENST00000274459 ENST00000589328 ENST00000409746 ENST00000463788 ENST00000588348 ENST00000586372 ENST00000490044 ENST00000512818 ENST00000606567 ENST00000513407 ENST00000471529 ENST00000381007 	ENST00000559575 	1311 2486 2479 2358 2458 115 1059 994 291 250 250 582 250 2726 	194 	1311 2486 2479 2358 2458 115 1059 994 291 250 250 582 250 2726 	194 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000592379 	ENST00000582736 	33 	57 	33 	57 	53 	53 
ENST00000373484 	ENST00000463378 	3284 	795 	3284 	795 	53 	53 
ENST00000604922 	ENST00000503002 ENST00000487100 ENST00000382175 	333 	404 230 104 	333 	404 230 104 	53 	52 52 52 
ENST00000406297 ENST00000606570 ENST00000579483 ENST00000492944 ENST00000510852 ENST00000462616 ENST00000587491 ENST00000474541 ENST00000567298 ENST00000446344 ENST00000598513 ENST00000333952 ENST00000193391 ENST00000373027 ENST00000373023 ENST00000379090 ENST00000606911 	ENST00000300035 	3409 2679 3175 81 1732 2943 206 480 3233 5593 2895 2910 6950 3082 3871 601 4683 	1416 	3416 2686 3182 88 1739 2950 213 487 3240 5600 2902 2917 6957 3089 3878 608 4690 	1416 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3379 	808 341 364 359 225 223 365 364 396 364 341 	3379 	808 341 364 359 225 223 365 364 396 364 341 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000598758 	ENST00000600493 	441 	452 	441 	452 	53 	53 
ENST00000314675 	ENST00000319041 	2116 	644 	2116 	644 	51 	53 
ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000372648 ENST00000223865 ENST00000539497 	2328 1481 2239 3004 3054 	1830 1310 1441 	2328 1481 2239 3004 3054 	1830 1310 1441 	48 48 48 48 48 	53 53 53 
ENST00000573263 ENST00000576531 ENST00000334418 ENST00000527356 	ENST00000570603 ENST00000573025 ENST00000573464 ENST00000574244 ENST00000532567 ENST00000527791 ENST00000527673 ENST00000527853 ENST00000427600 ENST00000457822 ENST00000476147 ENST00000540179 ENST00000469891 ENST00000327878 	1139 1672 1139 1672 	340 543 667 1308 340 543 667 1308 247 258 258 258 263 258 	1139 1672 1139 1672 	340 543 667 1308 340 543 667 1308 247 258 258 258 263 258 	53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000471784 ENST00000344774 	ENST00000333628 ENST00000259818 ENST00000473006 ENST00000556922 ENST00000554444 ENST00000315491 ENST00000555609 ENST00000304984 ENST00000264071 ENST00000540257 	1626 1031 	1246 1375 1300 2318 1521 1306 1479 3262 1555 1264 	1626 1031 	1246 1375 1300 2318 1521 1306 1479 3262 1555 1264 	53 53 	51 51 51 51 51 51 51 51 51 51 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	90 49 	307 238 	90 49 	53 53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	80 23 	376 	80 23 	53 	50 50 
ENST00000222224 ENST00000605182 ENST00000575918 ENST00000609965 ENST00000608267 ENST00000608685 ENST00000608153 ENST00000608366 ENST00000575187 ENST00000571795 	ENST00000457463 ENST00000609747 ENST00000609069 ENST00000609872 ENST00000609759 ENST00000609681 ENST00000575721 ENST00000575489 	1239 1239 1239 1239 1239 1239 1239 1239 1239 1239 	696 696 696 696 696 696 696 696 	1239 1239 1239 1239 1239 1239 1239 1239 1239 1239 	696 696 696 696 696 696 696 696 	53 53 53 53 53 53 53 53 53 53 	50 50 50 50 50 50 50 50 
ENST00000514253 	ENST00000511844 	510 	67 	510 	67 	53 	51 
ENST00000514253 	ENST00000511844 	494 	134 	494 	134 	53 	53 
ENST00000514253 	ENST00000511844 	492 	57 	492 	57 	53 	51 
