ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000215917 ENST00000476570 ENST00000281508 ENST00000596731 ENST00000370128 	ENST00000265044 	2546 1065 984 168 2225 	2137 	2561 1080 999 183 2240 	2137 	31 31 31 31 31 	52 
ENST00000484062 	ENST00000446828 	617 	2622 	617 	2622 	52 	53 
ENST00000534030 	ENST00000530320 	423 	541 	424 	541 	50 	51 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	163 122 	482 	163 122 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4113 	50 69 71 50 	4121 	50 69 71 50 	45 	53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	164 	1093 1110 	164 	53 53 	53 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000526267 ENST00000525054 	3694 	1456 1573 355 396 	3694 	1456 1573 355 396 	53 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	354 	80 23 	354 	80 23 	53 	50 50 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	345 	601 610 614 496 	359 	601 610 614 496 	39 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000482786 ENST00000420164 ENST00000306465 	ENST00000473428 	717 448 923 	664 	717 448 923 	664 	53 53 53 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	79 22 	363 	79 22 	53 	51 51 
ENST00000508814 	ENST00000510019 	304 	247 	304 	247 	50 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1107 1124 	230 181 	1107 1124 	230 181 	52 52 	53 53 
ENST00000492999 	ENST00000424633 ENST00000454660 	278 	63 63 	290 	69 69 	41 	46 46 
ENST00000361681 	ENST00000361567 	490 	1693 	490 	1693 	35 	53 
ENST00000610026 	ENST00000469840 	1838 	404 	1838 	410 	33 	46 
ENST00000449131 	ENST00000321341 ENST00000382927 	3747 	1368 1297 	3747 	1368 1297 	53 	52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1149 1166 	197 148 	1149 1166 	197 148 	52 52 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	81 24 	376 	81 24 	53 	52 52 
ENST00000413432 	ENST00000559514 	3965 	2049 	3965 	2065 	34 	31 
ENST00000514253 	ENST00000510019 ENST00000511844 ENST00000491662 	485 	184 143 111 	485 	184 143 111 	52 	36 36 36 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	80 23 	364 	80 23 	53 	50 50 
ENST00000361681 	ENST00000361567 	392 	1737 	392 	1737 	53 	53 
ENST00000373484 	ENST00000463378 ENST00000460669 	3356 	719 583 	3356 	719 583 	53 	51 51 
ENST00000406053 	ENST00000538183 	1935 	7149 	1935 	7149 	52 	34 
ENST00000335012 	ENST00000522255 	2605 	770 	4738 	770 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	81 24 	363 	81 24 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3008 2909 2663 	217 	3008 2909 2663 	217 	53 53 53 	53 
ENST00000449131 	ENST00000517577 ENST00000492727 	3741 	219 216 	3741 	219 216 	52 	53 53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000331789 ENST00000425660 ENST00000462494 ENST00000484841 ENST00000473257 ENST00000515712 	75 75 75 	975 908 1308 938 501 784 	75 75 75 	976 909 1309 939 502 785 	52 52 52 	52 52 52 52 52 52 
ENST00000361681 	ENST00000361567 	448 	1661 	448 	1661 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000544838 	ENST00000551209 ENST00000552978 ENST00000550186 ENST00000546613 	1817 	1953 701 1882 506 	1817 	1953 701 1882 506 	53 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3491 	815 348 371 366 372 373 571 371 371 348 	3492 	815 348 371 366 372 373 571 371 371 348 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1950 2082 2529 	241 	1950 2082 2529 	241 	52 52 52 	52 
ENST00000340291 ENST00000475644 ENST00000489063 	ENST00000469249 	1431 2155 408 	467 	1431 2155 408 	467 	53 53 53 	50 
ENST00000292174 	ENST00000526143 	4346 	5392 	4346 	5392 	53 	47 
ENST00000592379 	ENST00000475608 	82 	20 	83 	20 	52 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	160 119 	482 	160 119 	53 	53 53 
ENST00000359653 ENST00000376923 ENST00000311798 ENST00000347757 ENST00000594778 ENST00000594016 ENST00000596327 	ENST00000299977 ENST00000542451 	3767 993 1169 1046 993 1169 1046 	3021 2265 	3786 1012 1188 1065 1012 1188 1065 	3021 2265 	34 34 34 34 34 34 34 	52 52 
ENST00000592379 	ENST00000475608 	54 	34 	54 	40 	53 	47 
ENST00000603027 	ENST00000603309 	4314 	827 	4314 	827 	53 	53 
ENST00000281382 	ENST00000465198 ENST00000432183 ENST00000482449 ENST00000494370 ENST00000437982 ENST00000449922 ENST00000415552 	1210 	247 545 505 51 293 293 332 	1210 	247 545 505 51 293 293 332 	52 	42 42 42 42 42 42 42 
ENST00000366409 	ENST00000435781 ENST00000438571 ENST00000466776 	406 	526 720 318 	406 	526 720 318 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	827 360 383 378 384 385 383 360 	3482 	827 360 383 378 384 385 383 360 	52 	52 52 52 52 52 52 52 52 
ENST00000603027 	ENST00000603309 	4351 	797 	4351 	797 	53 	52 
ENST00000490762 	ENST00000468913 ENST00000437043 ENST00000513084 ENST00000379904 ENST00000495076 ENST00000526353 ENST00000533661 ENST00000369064 ENST00000369051 ENST00000554677 ENST00000527076 ENST00000590933 ENST00000587822 ENST00000519906 ENST00000397278 ENST00000319136 ENST00000422706 ENST00000426053 ENST00000472688 ENST00000475922 ENST00000494079 ENST00000396008 ENST00000546474 ENST00000600021 ENST00000595101 ENST00000607597 ENST00000436699 ENST00000379121 	1949 	-16 3713 3253 3011 4939 4574 781 2514 1895 595 840 396 2437 218 2116 2202 2094 2001 630 1594 699 2636 9087 987 1595 65 599 599 	1963 	0 3729 3269 3027 4955 4590 797 2530 1911 611 856 412 2453 234 2132 2218 2110 2017 646 1610 715 2652 9103 1003 1611 81 615 615 	37 	34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 
ENST00000539680 	ENST00000483681 	867 	1485 	880 	1505 	39 	33 
ENST00000336557 ENST00000258807 	ENST00000396802 	2357 2242 	1851 	2357 2242 	1851 	51 51 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4141 	77 79 	4141 	77 79 	53 	53 53 
ENST00000361681 	ENST00000361567 	469 	1586 	469 	1586 	53 	52 
ENST00000560723 	ENST00000560975 ENST00000358278 ENST00000357980 ENST00000558347 ENST00000559556 ENST00000559397 ENST00000267996 ENST00000404484 ENST00000558544 ENST00000558264 ENST00000558072 	451 	2646 942 1002 754 869 869 869 798 631 1889 316 	471 	2646 942 1002 754 869 869 869 798 631 1889 316 	32 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000567173 ENST00000563505 ENST00000566181 	1489 1656 1453 1477 1384 809 1579 1489 	565 616 289 	1489 1656 1453 1477 1384 809 1579 1489 	565 616 289 	53 53 53 53 53 53 53 53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	148 	1091 1108 	148 	50 50 	32 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1150 1167 	231 182 	1150 1167 	231 182 	53 53 	52 52 
ENST00000314675 	ENST00000319041 	2065 	516 	2065 	516 	53 	52 
ENST00000508814 ENST00000514253 	ENST00000510019 	297 228 	218 	297 228 	218 	53 53 	53 
ENST00000449131 	ENST00000575071 ENST00000333775 ENST00000575771 ENST00000575208 ENST00000576861 ENST00000576384 ENST00000335155 	3545 	242 718 571 248 276 127 143 	3545 	242 718 571 248 276 127 143 	53 	53 53 53 53 53 53 53 
ENST00000526743 	ENST00000224756 	2102 	7274 	2102 	7274 	53 	53 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000526267 ENST00000525054 	3694 	1438 1555 337 378 	3694 	1438 1555 337 378 	53 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	368 	79 22 	368 	79 22 	53 	51 51 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	280 211 	181 191 236 	280 211 	181 191 236 	53 53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3076 2977 2731 	287 	3076 2977 2731 	287 	53 53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	462 	178 137 	462 	178 137 	52 	52 52 
ENST00000258821 	ENST00000546933 ENST00000594248 ENST00000492184 ENST00000367264 	2382 	610 937 1533 846 	2382 	610 937 1533 846 	33 	48 48 48 48 
ENST00000449131 	ENST00000517577 	3744 	227 	3744 	227 	46 	53 
ENST00000514253 	ENST00000511844 	495 	70 	495 	70 	53 	53 
ENST00000358056 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000426059 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	42 	1600 1601 1601 1601 1705 1601 1606 1600 1601 1606 1601 1601 1601 1601 	44 	1600 1601 1601 1601 1705 1601 1606 1600 1601 1606 1601 1601 1601 1601 	34 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000366582 	ENST00000323938 ENST00000526634 	8327 	1534 1737 	8327 	1534 1737 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4161 	45 66 45 	4161 	45 66 45 	50 	52 52 52 
ENST00000492137 ENST00000407431 ENST00000407148 ENST00000405938 	ENST00000471799 	780 2831 2646 2812 	535 	780 2831 2646 2812 	535 	52 52 52 52 	52 
ENST00000514253 	ENST00000511844 	495 	111 	495 	111 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3496 	824 357 380 375 381 382 380 357 	3496 	824 357 380 375 381 382 380 357 	53 	51 51 51 51 51 51 51 51 
ENST00000519409 	ENST00000523644 	313 	115 	313 	115 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3455 	814 347 370 365 371 372 570 370 402 370 347 	3455 	814 347 370 365 371 372 570 370 402 370 347 	53 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000326181 	ENST00000302278 ENST00000494395 ENST00000396033 ENST00000374956 ENST00000423113 	3118 	1793 199 1864 1803 1728 	3118 	1793 199 1864 1803 1728 	53 	53 53 53 53 53 
ENST00000560723 	ENST00000559556 	407 	870 	412 	870 	47 	53 
ENST00000405508 ENST00000262709 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000494446 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	3714 3541 	6760 7379 7106 6569 7576 8250 7031 6841 6841 6929 3084 234 7199 6674 6593 6700 	3714 3541 	6760 7379 7106 6569 7576 8250 7031 6841 6841 6929 3084 234 7199 6674 6593 6700 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000590141 	ENST00000462524 ENST00000596094 ENST00000587341 ENST00000595222 ENST00000587208 	628 	360 326 337 422 419 	628 	360 326 337 422 419 	53 	53 53 53 53 53 
ENST00000347053 	ENST00000485846 	4407 	2330 	4407 	2330 	53 	53 
ENST00000408926 	ENST00000557060 ENST00000551944 ENST00000555870 ENST00000550977 ENST00000604604 ENST00000469718 ENST00000602666 	3109 	2762 3307 6838 2170 1279 438 2454 	3109 	2780 3325 6856 2188 1297 456 2472 	53 	34 34 34 34 34 34 34 
ENST00000489060 	ENST00000551944 ENST00000493254 ENST00000604604 ENST00000392857 ENST00000295025 	1239 	3447 2384 1420 5640 9046 	1239 	3466 2403 1439 5659 9065 	53 	33 33 33 33 33 
ENST00000592379 	ENST00000475608 	54 	13 	54 	13 	53 	52 
ENST00000519973 	ENST00000316292 ENST00000491404 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000501580 	1581 	2403 360 2030 1533 1656 1406 	1581 	2403 360 2030 1533 1656 1406 	31 	53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2114 	474 	2114 	474 	53 	52 
ENST00000508814 	ENST00000510210 ENST00000512493 	283 	224 234 	283 	224 234 	53 	52 52 
ENST00000565677 ENST00000219548 ENST00000569248 ENST00000564316 	ENST00000570037 ENST00000562111 ENST00000565258 	1460 1319 1782 629 	672 625 413 	1460 1319 1782 629 	672 625 413 	53 53 53 53 	53 53 53 
ENST00000556219 	ENST00000361171 ENST00000470567 ENST00000489570 ENST00000436593 	276 	746 61 3 745 	295 	746 61 3 745 	34 	53 53 53 53 
ENST00000369130 ENST00000462852 ENST00000478999 ENST00000369128 ENST00000579153 	ENST00000380394 ENST00000380384 ENST00000315377 ENST00000380381 	185 149 128 115 212 	97 620 143 79 	185 149 128 115 212 	97 620 143 79 	48 48 48 48 48 	53 53 53 53 
ENST00000592379 	ENST00000475608 	72 	6 	72 	6 	53 	52 
ENST00000592661 	ENST00000587608 ENST00000587133 ENST00000587200 	430 	351 741 595 	430 	351 741 595 	53 	53 53 53 
ENST00000320934 	ENST00000529622 	4509 	417 	4509 	417 	53 	51 
ENST00000526743 	ENST00000528784 	1461 	834 	1461 	834 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	378 	86 29 	378 	86 29 	53 	51 51 
ENST00000262866 	ENST00000558530 	2646 	759 	2646 	759 	53 	53 
ENST00000592379 	ENST00000475608 	47 	20 	47 	21 	53 	51 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1109 1126 	305 256 	1109 1126 	305 256 	53 53 	51 51 
ENST00000367048 ENST00000472052 ENST00000541436 	ENST00000392168 	3109 1579 1595 	1646 	3109 1579 1595 	1646 	52 52 52 	53 
ENST00000526743 	ENST00000528784 ENST00000534706 	1460 	727 696 	1460 	727 696 	53 	52 52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4127 	105 307 107 107 	4127 	105 307 107 107 	53 	52 52 52 52 
ENST00000515834 	ENST00000361547 ENST00000374315 ENST00000354177 	3742 	3280 3161 3178 	3742 	3280 3161 3178 	39 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1107 1124 	207 158 	1107 1124 	207 158 	52 52 	51 51 
ENST00000482786 ENST00000420164 ENST00000306465 	ENST00000489471 ENST00000473428 	774 505 980 	791 631 	774 505 980 	791 631 	53 53 53 	53 53 
ENST00000552312 	ENST00000464330 ENST00000473019 ENST00000354685 ENST00000527990 ENST00000254579 	16 	392 470 1484 822 1386 	16 	392 470 1484 822 1386 	36 	52 52 52 52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3053 2954 2708 	327 	3053 2954 2708 	327 	53 53 53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	87 30 	364 	87 30 	53 	50 50 
ENST00000329321 ENST00000470071 	ENST00000296755 	2385 1619 	6361 	2385 1619 	6370 	51 51 	44 
ENST00000320934 	ENST00000529622 	4449 	319 	4450 	319 	52 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	824 357 380 375 381 382 380 357 	3482 	824 357 380 375 381 382 380 357 	52 	51 51 51 51 51 51 51 51 
ENST00000506530 ENST00000593745 ENST00000366442 	ENST00000521767 	1093 3130 248 	353 	1113 3150 268 	357 	33 33 33 	31 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1264 859 1267 	233 	1264 859 1267 	234 	53 53 53 	51 
ENST00000514253 	ENST00000511844 	495 	117 	495 	117 	53 	53 
ENST00000423285 	ENST00000391770 ENST00000391769 ENST00000336967 ENST00000391771 	566 	1244 1376 1244 1308 	575 	1244 1376 1244 1308 	32 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	463 	226 51 	463 	226 51 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	479 	178 137 	480 	178 137 	51 	52 52 
ENST00000309955 ENST00000544076 	ENST00000584196 ENST00000582966 ENST00000476192 ENST00000497426 	3730 1431 	1841 1841 6996 6996 	3730 1431 	1841 1841 6996 6996 	53 53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	130 89 	484 	131 90 	53 	51 51 
ENST00000569248 ENST00000565813 	ENST00000562824 ENST00000563088 ENST00000564436 ENST00000570037 ENST00000562111 	1645 94 	817 884 482 802 755 	1645 94 	817 884 482 802 755 	53 53 	53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	225 235 	278 	225 235 	53 	52 52 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	243 241 229 213 	3 	247 245 233 217 	8 	49 49 49 49 	48 
ENST00000579489 ENST00000589997 ENST00000486028 ENST00000487894 	ENST00000369536 ENST00000493269 	112 5466 603 198 	1565 8 	112 5466 603 198 	1565 8 	46 46 46 46 	53 53 
ENST00000538789 	ENST00000472643 ENST00000526894 ENST00000531361 	1220 	696 589 527 	1221 	696 589 527 	51 	44 44 44 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	108 67 	463 	108 67 	53 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	80 23 	351 	80 23 	53 	50 50 
ENST00000550977 ENST00000295025 	ENST00000558583 	1652 8392 	6092 	1652 8392 	6092 	53 53 	53 
ENST00000514253 	ENST00000511844 	496 	80 	499 	80 	50 	53 
ENST00000512512 ENST00000295666 	ENST00000441246 	756 1150 	3664 	756 1150 	3664 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	98 96 238 	3747 	98 96 238 	53 	53 53 53 
ENST00000592379 	ENST00000582736 	12 	113 	12 	113 	53 	50 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	161 120 	307 238 	161 120 	53 53 	32 32 
ENST00000460059 	ENST00000430432 ENST00000447620 	256 	458 474 	256 	458 474 	53 	53 53 
ENST00000560723 	ENST00000288398 ENST00000403994 ENST00000559556 ENST00000560970 ENST00000561266 ENST00000334895 ENST00000560959 ENST00000559281 ENST00000317516 ENST00000561395 ENST00000559108 	409 	902 784 776 646 520 806 610 596 596 330 172 	409 	902 784 776 646 520 806 610 596 596 330 172 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	473 	95 54 	473 	95 54 	53 	52 52 
ENST00000482655 	ENST00000515583 	718 	630 	718 	630 	53 	53 
ENST00000478113 ENST00000395465 	ENST00000563996 	3380 3972 	1091 	3381 3973 	1091 	52 52 	53 
ENST00000419932 	ENST00000299980 ENST00000569748 ENST00000393512 ENST00000565009 ENST00000568327 ENST00000450149 ENST00000563259 ENST00000563104 ENST00000569185 ENST00000566161 ENST00000567583 ENST00000565412 ENST00000569975 ENST00000570297 ENST00000570017 ENST00000433195 ENST00000423132 	232 	444 912 444 225 250 75 285 450 142 529 333 364 403 449 736 871 281 	232 	444 912 444 225 250 75 285 450 142 529 333 364 403 449 736 871 281 	53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000307089 	ENST00000468308 	3243 	712 	3247 	712 	34 	51 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	173 132 	482 	173 132 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4130 	105 307 107 107 	4130 	105 307 107 107 	53 	52 52 52 52 
ENST00000568313 	ENST00000567173 ENST00000563505 ENST00000566181 	790 	605 656 329 	790 	605 656 329 	51 	53 53 53 
ENST00000368698 ENST00000469893 ENST00000292169 	ENST00000368699 	724 2556 531 	149 	724 2556 531 	149 	53 53 53 	53 
ENST00000592379 	ENST00000582736 	12 	94 	12 	94 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	211 93 91 233 211 	3744 	211 93 91 233 211 	53 	51 51 51 51 51 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1424 	470 507 201 	1424 	470 507 201 	53 	51 51 51 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4142 	45 66 45 	4142 	45 66 45 	46 	52 52 52 
ENST00000564370 	ENST00000562824 ENST00000563088 	802 	940 1007 	817 	940 1007 	38 	51 51 
ENST00000475644 ENST00000489063 	ENST00000469249 	2065 318 	538 	2065 318 	538 	53 53 	51 
ENST00000538183 ENST00000321521 ENST00000312675 ENST00000543006 ENST00000355520 ENST00000558583 ENST00000310613 	ENST00000392385 ENST00000551944 	7065 7953 13247 13190 7341 5649 2745 	1060 3212 	7066 7954 13248 13191 7342 5650 2746 	1060 3212 	51 51 51 51 51 51 51 	53 53 
ENST00000169298 ENST00000458216 ENST00000430309 ENST00000417392 ENST00000438590 ENST00000448408 ENST00000440338 ENST00000448044 ENST00000416235 ENST00000423451 ENST00000446170 	ENST00000296277 	708 464 410 401 350 744 466 365 387 255 348 	276 	709 465 411 402 351 745 467 366 388 256 349 	276 	35 35 35 35 35 35 35 35 35 35 35 	51 
ENST00000382031 ENST00000300231 ENST00000399453 	ENST00000316292 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000495333 ENST00000488500 ENST00000356303 ENST00000455918 ENST00000559385 ENST00000434005 ENST00000318052 ENST00000436459 ENST00000443590 ENST00000421195 	1973 1678 1695 	1130 757 171 383 171 171 337 519 137 138 138 138 138 138 	1973 1678 1695 	1130 757 171 383 171 171 337 519 137 138 138 138 138 138 	53 53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3459 	798 331 349 215 213 554 354 386 354 331 	3459 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	360 	653 662 666 548 	360 	653 662 666 548 	53 	53 53 53 53 
ENST00000514253 	ENST00000510019 	482 	201 	482 	201 	53 	53 
ENST00000461526 	ENST00000565657 ENST00000566444 ENST00000564602 ENST00000527438 ENST00000526479 ENST00000332324 ENST00000524965 ENST00000528718 	439 	1550 911 1053 260 186 1550 911 419 	439 	1550 911 1053 260 186 1550 911 419 	52 	53 53 53 53 53 53 53 53 
ENST00000417099 	ENST00000378662 ENST00000234800 ENST00000480991 	209 	3197 2863 2078 	227 	3197 2863 2078 	35 	53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	73 16 	389 	73 16 	53 	52 52 
ENST00000592379 	ENST00000475608 	72 	13 	72 	13 	53 	52 
ENST00000475022 ENST00000353411 	ENST00000230914 	1387 5739 	3498 	1387 5739 	3498 	32 32 	53 
ENST00000497070 ENST00000322753 	ENST00000414932 	1439 2178 	1430 	1439 2178 	1448 	31 31 	35 
ENST00000562824 ENST00000563088 	ENST00000564370 	917 984 	818 	917 984 	818 	53 53 	53 
ENST00000408926 	ENST00000557060 ENST00000551944 ENST00000493254 ENST00000555870 ENST00000462119 ENST00000337630 ENST00000604604 ENST00000295025 ENST00000469718 ENST00000602666 	2937 	2937 3481 2418 7012 1009 2017 1454 9080 611 2629 	2937 	2937 3481 2418 7012 1009 2017 1642 9080 611 2629 	31 	33 33 33 33 33 33 33 33 33 33 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000323250 	3605 1453 2069 	533 	3605 1453 2069 	533 	53 53 53 	53 
ENST00000514253 	ENST00000511844 	494 	104 	495 	104 	52 	53 
ENST00000355797 ENST00000330062 	ENST00000597008 	2768 2560 	787 	2768 2560 	787 	52 52 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 	407 407 	1749 	407 407 	1749 	51 51 	53 
ENST00000361681 	ENST00000391857 ENST00000472481 ENST00000484279 ENST00000486930 ENST00000477613 ENST00000467825 ENST00000439189 ENST00000270634 ENST00000459725 ENST00000424500 	293 	198 144 312 445 232 118 122 122 122 122 	293 	198 144 312 445 232 118 122 122 122 122 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000234170 	ENST00000470216 	3359 	73 	3359 	73 	53 	52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4152 	98 300 100 100 	4152 	100 302 102 102 	49 	51 51 51 51 
ENST00000436063 ENST00000550534 ENST00000550321 	ENST00000550703 ENST00000478122 ENST00000555870 ENST00000359242 ENST00000294678 	4016 594 590 	1115 1077 6398 3286 3263 	4032 610 606 	1117 1079 6400 3288 3265 	34 34 34 	49 49 49 49 49 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3024 2925 2679 	298 	3024 2925 2679 	298 	51 51 51 	51 
ENST00000596751 	ENST00000546500 ENST00000547566 ENST00000340913 ENST00000550482 ENST00000562726 ENST00000565308 ENST00000403195 	484 	1273 718 711 271 720 656 520 	484 	1276 721 714 274 723 659 523 	43 	50 50 50 50 50 50 50 
ENST00000536066 ENST00000342628 ENST00000361953 ENST00000359843 	ENST00000552564 ENST00000293379 ENST00000552583 	1485 2444 2339 2285 	2063 2514 298 	1485 2444 2339 2285 	2063 2514 298 	53 53 53 53 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1091 1108 	176 214 	1091 1108 	181 219 	50 50 	37 37 
ENST00000347053 	ENST00000485846 	4422 	2325 	4422 	2325 	52 	53 
ENST00000449131 	ENST00000498161 ENST00000599364 	4149 	41 41 	4149 	41 41 	52 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	280 	1118 1135 	280 	53 53 	52 
ENST00000563480 ENST00000395589 ENST00000562411 	ENST00000519737 	378 378 546 	1070 	378 378 546 	1070 	34 34 34 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	77 20 	351 	77 20 	44 	52 52 
ENST00000263801 ENST00000476454 ENST00000411772 ENST00000382039 ENST00000382044 ENST00000450115 	ENST00000564079 	6187 2068 3822 5861 6077 6027 	4075 	6187 2068 3822 5861 6077 6027 	4075 	53 53 53 53 53 53 	47 
