ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000561412 	ENST00000552841 ENST00000550193 ENST00000548233 	498 	102 102 102 	498 	102 102 102 	53 	39 39 39 
ENST00000514253 	ENST00000511844 	507 	88 	507 	88 	52 	52 
ENST00000461837 ENST00000412144 ENST00000383198 ENST00000548408 ENST00000495024 ENST00000383067 ENST00000383066 ENST00000551943 ENST00000434618 ENST00000300747 ENST00000531101 ENST00000467834 ENST00000374568 ENST00000374572 ENST00000480059 ENST00000437315 ENST00000417059 	ENST00000400335 ENST00000400338 ENST00000494209 ENST00000480906 	2005 2798 2880 2001 1994 2791 2873 2612 2873 2608 2551 2001 2798 2880 2001 2798 2880 	2788 2839 466 1507 	2005 2798 2880 2001 1994 2791 2873 2612 2873 2608 2551 2001 2798 2880 2001 2798 2880 	2788 2839 466 1507 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 	52 52 52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 	318 249 	206 	318 249 	206 	53 53 	52 
ENST00000374007 	ENST00000380155 	71 	3834 	78 	3834 	34 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	657 666 670 552 	359 	657 666 670 552 	44 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	160 119 	482 	160 119 	53 	53 53 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000451353 	ENST00000254584 	134 	2320 	134 	2320 	43 	31 
ENST00000592379 	ENST00000582736 	12 	98 	12 	98 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3486 	798 331 349 215 213 554 354 386 354 331 	3486 	798 331 349 215 213 554 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1098 1115 	257 	1098 1115 	257 	53 53 	53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	107 309 109 109 	4144 	107 309 109 109 	52 	52 52 52 52 
ENST00000596096 ENST00000595703 ENST00000397755 	ENST00000521942 ENST00000573741 	294 369 400 	1795 1822 	294 369 400 	1795 1822 	50 50 50 	53 53 
ENST00000264775 ENST00000307259 	ENST00000508716 	1407 1485 	2014 	1407 1485 	2014 	52 52 	53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1297 1464 1261 1285 1192 617 1387 1297 	453 	1298 1465 1262 1286 1193 618 1388 1298 	453 	51 51 51 51 51 51 51 51 	51 
ENST00000581011 ENST00000581862 ENST00000583405 ENST00000582571 ENST00000584671 	ENST00000571623 ENST00000532485 	36 10 1 30 24 	4304 4304 	55 29 20 49 43 	4304 4304 	32 32 32 32 32 	53 53 
ENST00000377957 ENST00000257189 ENST00000371655 ENST00000307792 ENST00000396667 ENST00000305188 ENST00000526185 ENST00000438197 ENST00000399387 ENST00000550266 ENST00000605787 	ENST00000359359 ENST00000480824 	3736 3747 1764 6435 11510 3852 1682 1694 884 189 632 	1825 1712 	3736 3747 1764 6435 11510 3852 1682 1694 884 189 632 	1825 1712 	37 37 37 37 37 37 37 37 37 37 37 	53 53 
ENST00000356970 ENST00000369971 ENST00000415331 ENST00000369969 ENST00000369968 	ENST00000441735 	4551 4573 4433 4081 3889 	458 	4551 4573 4433 4081 3889 	458 	53 53 53 53 53 	53 
ENST00000514253 	ENST00000511844 	496 	109 	498 	109 	51 	53 
ENST00000564370 	ENST00000562824 	799 	951 	799 	951 	53 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	629 638 642 524 	359 	629 638 642 524 	44 	53 53 53 53 
ENST00000358138 ENST00000437935 ENST00000550150 ENST00000378165 ENST00000378150 ENST00000550756 	ENST00000466663 ENST00000546933 ENST00000592790 ENST00000532540 ENST00000492184 ENST00000258886 	1262 1084 767 2265 2243 420 	116 611 1106 226 1534 4792 	1282 1104 787 2285 2263 440 	133 628 1123 243 1551 4809 	33 33 33 33 33 33 	34 34 34 34 34 34 
ENST00000320934 	ENST00000529622 	4565 	405 	4566 	405 	52 	53 
ENST00000449131 	ENST00000360467 	3351 	798 	3351 	798 	53 	52 
ENST00000361681 	ENST00000361567 	488 	1691 	488 	1691 	37 	51 
ENST00000293780 	ENST00000572330 	2360 	5082 	2361 	5082 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	359 	79 22 	361 	79 22 	51 	51 51 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	113 111 313 113 113 	4149 	113 111 313 113 113 	52 	53 53 53 53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1438 1605 1402 1426 1333 758 1528 1438 	449 	1438 1605 1402 1426 1333 758 1528 1438 	449 	53 53 53 53 53 53 53 53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4142 	84 86 	4142 	84 86 	53 	53 53 
ENST00000229214 	ENST00000456650 ENST00000550491 	1875 	627 604 	1875 	627 604 	52 	53 53 
ENST00000368921 	ENST00000503431 ENST00000284440 ENST00000381760 ENST00000512419 ENST00000505232 ENST00000504818 ENST00000508768 ENST00000512788 ENST00000472501 	540 	224 306 713 227 207 429 199 194 686 	540 	224 306 713 227 207 429 199 194 686 	53 	53 53 53 53 53 53 53 53 53 
ENST00000458073 ENST00000489527 	ENST00000470642 	1240 312 	499 	1240 312 	499 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	91 50 	463 	91 50 	53 	52 52 
ENST00000466681 	ENST00000371817 	2133 	6774 	2133 	6783 	52 	44 
ENST00000603633 	ENST00000309033 	1079 	2190 	1083 	2190 	46 	35 
ENST00000514253 	ENST00000511844 	503 	110 	504 	110 	52 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	332 	1946 2078 2525 	332 	53 53 53 	53 
ENST00000592379 	ENST00000475608 	72 	18 	72 	18 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000517577 ENST00000599364 	3741 	210 232 210 	3741 	210 232 210 	52 	52 52 52 
ENST00000558264 ENST00000553645 ENST00000311089 	ENST00000435356 	798 2274 2154 	1619 	810 2286 2166 	1619 	40 40 40 	35 
ENST00000462410 	ENST00000533829 ENST00000474142 ENST00000434248 ENST00000475900 ENST00000231461 ENST00000519414 ENST00000473343 ENST00000513135 ENST00000554680 ENST00000556052 ENST00000520734 ENST00000520052 ENST00000435356 ENST00000003100 ENST00000422722 ENST00000370272 ENST00000599550 	2153 	152 34 4405 4301 2259 563 95 1987 11 5 56 56 1570 2730 3039 5723 255 	2163 	164 46 4417 4313 2271 575 107 1999 23 17 68 68 1582 2742 3051 5735 267 	43 	41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	275 	1109 1126 	275 	53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	77 20 	367 	77 20 	53 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	483 	150 109 	483 	150 109 	53 	53 53 
ENST00000439231 	ENST00000227507 	344 	2412 	347 	2412 	33 	53 
ENST00000437809 ENST00000473267 ENST00000368331 	ENST00000462250 	7431 1171 7360 	107 	7431 1171 7360 	107 	53 53 53 	53 
ENST00000342022 ENST00000444724 ENST00000295628 ENST00000402255 ENST00000249116 ENST00000355754 ENST00000319211 ENST00000592154 	ENST00000395686 	2893 2775 4911 1024 990 4548 3284 559 	3671 	2893 2775 4911 1024 990 4548 3284 559 	3671 	53 53 53 53 53 53 53 53 	53 
ENST00000437809 ENST00000473267 ENST00000368331 	ENST00000466815 ENST00000462250 	7373 1113 7302 	655 103 	7373 1113 7302 	655 103 	52 52 52 	53 53 
ENST00000346991 ENST00000439326 	ENST00000273582 	8295 3910 	5559 	8298 3913 	5574 	33 33 	38 
ENST00000481729 ENST00000476192 ENST00000489060 ENST00000497426 ENST00000474698 	ENST00000557845 ENST00000604604 	515 5253 2236 5253 5252 	266 485 	516 5254 2237 5254 5253 	266 485 	51 51 51 51 51 	35 35 
ENST00000409508 ENST00000328843 	ENST00000373934 	14100 14121 	1659 	14100 14121 	1659 	53 53 	51 
ENST00000274026 	ENST00000243498 ENST00000379663 ENST00000512454 ENST00000503236 	2283 	1297 1345 1357 529 	2283 	1297 1345 1357 529 	52 	51 51 51 51 
ENST00000592379 	ENST00000582736 	35 	91 	35 	91 	53 	52 
ENST00000361567 ENST00000511037 	ENST00000361681 ENST00000506002 	1764 1764 	414 414 	1764 1764 	414 414 	48 48 	53 53 
ENST00000595956 	ENST00000468120 ENST00000496289 	66 	426 408 	67 	426 408 	52 	52 52 
ENST00000508814 	ENST00000510019 	319 	237 	319 	237 	53 	53 
ENST00000429656 ENST00000417944 ENST00000451967 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000547271 	195 195 195 195 	333 301 14 	195 195 195 195 	333 301 14 	52 52 52 52 	53 53 53 
ENST00000341885 	ENST00000316459 	222 	1110 	222 	1110 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3471 	789 322 340 173 206 204 345 545 345 377 345 322 	3471 	789 322 340 173 206 204 345 545 345 377 345 322 	50 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 	4178 	79 	4178 	79 	53 	52 
ENST00000502378 	ENST00000335351 	878 	1360 	878 	1360 	53 	53 
ENST00000514253 	ENST00000511844 	496 	132 	496 	132 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	485 	164 123 	485 	164 123 	52 	52 52 
ENST00000481617 ENST00000604604 	ENST00000429412 ENST00000546113 ENST00000538183 ENST00000476192 ENST00000497426 ENST00000474698 	3404 284 	1753 1753 7995 5486 5486 5485 	3405 285 	1753 1753 7995 5486 5486 5485 	39 39 	32 32 32 32 32 32 
ENST00000333396 	ENST00000495403 	4785 	519 	4785 	519 	51 	37 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	308 239 	137 96 	308 239 	137 96 	53 53 	53 53 
ENST00000321521 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000558583 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000409562 	7798 6338 319 5102 3538 7186 5494 1349 1225 6781 1030 1030 	2893 	7798 6338 319 5102 3538 7186 5494 1349 1225 6781 1030 1030 	2893 	51 51 51 51 51 51 51 51 51 51 51 51 	53 
ENST00000534030 	ENST00000530320 	418 	512 	418 	512 	40 	52 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 	72 72 72 	262 262 262 	73 73 73 	262 262 262 	52 52 52 	53 53 53 
ENST00000515164 	ENST00000434526 ENST00000342190 ENST00000436782 ENST00000423763 ENST00000438133 ENST00000275607 	23 	1536 1360 1172 1308 1256 1379 	23 	1536 1360 1172 1308 1256 1379 	34 	53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3378 	798 331 349 215 213 354 386 354 331 	3378 	798 331 349 215 213 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3741 	241 	3741 	241 	52 	53 
ENST00000449131 	ENST00000517577 	3741 	241 	3741 	241 	52 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	425 425 	68 	425 425 	68 	53 53 	53 
ENST00000458008 ENST00000427587 ENST00000585436 ENST00000467239 ENST00000486431 ENST00000485843 ENST00000313946 	ENST00000529482 ENST00000533775 ENST00000450217 ENST00000515248 ENST00000533887 ENST00000532875 	1716 1838 1514 1361 1143 1449 2109 	1971 861 511 553 558 229 	1716 1838 1514 1361 1143 1449 2109 	1971 861 511 553 558 229 	53 53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000260649 	ENST00000420756 	2831 	126 	2831 	126 	52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2992 2893 2647 	181 310 	2992 2893 2647 	183 312 	50 50 50 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	101 60 	484 	101 60 	53 	53 53 
ENST00000228887 ENST00000396333 	ENST00000313949 ENST00000371075 ENST00000371100 ENST00000371102 ENST00000464624 ENST00000488546 ENST00000481039 ENST00000477931 ENST00000470512 ENST00000480975 ENST00000480232 ENST00000371095 ENST00000371085 ENST00000354359 ENST00000265620 ENST00000488652 ENST00000476935 ENST00000492907 ENST00000487862 ENST00000496934 ENST00000476196 ENST00000306090 	506 506 	1740 1713 3191 2600 2926 569 627 825 784 709 729 1093 1134 1137 1028 800 699 661 944 1999 1003 810 	506 506 	1740 1713 3191 2600 2926 569 627 825 784 709 729 1093 1134 1137 1028 800 699 661 944 1999 1003 810 	53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4149 	82 84 	4149 	82 84 	52 	52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	405 	74 17 	405 	74 17 	53 	53 53 
ENST00000592379 	ENST00000582736 	12 	127 	15 	127 	50 	53 
ENST00000560723 	ENST00000559556 	417 	828 	417 	828 	53 	53 
ENST00000281382 	ENST00000489448 ENST00000557531 ENST00000437982 ENST00000449922 ENST00000415552 ENST00000555758 	1156 	440 43 461 461 500 461 	1157 	441 44 462 462 501 462 	45 	51 51 51 51 51 51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	275 	1118 1135 	275 	53 53 	53 
ENST00000550121 ENST00000394115 ENST00000547586 ENST00000552258 ENST00000530586 ENST00000524375 ENST00000532924 ENST00000327590 ENST00000449891 ENST00000449191 	ENST00000503706 ENST00000505491 	257 228 227 111 151 134 90 3030 537 673 	199 151 	257 228 227 111 151 134 90 3030 537 673 	199 151 	53 53 53 53 53 53 53 53 53 53 	36 36 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	124 83 	484 	124 83 	53 	53 53 
ENST00000314675 	ENST00000319041 	2104 	633 	2116 	633 	38 	53 
ENST00000602681 	ENST00000263773 ENST00000528388 ENST00000534003 ENST00000527894 ENST00000544590 	685 	1406 0 1391 128 292 	685 	1406 0 1391 128 292 	33 	53 53 53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 ENST00000466304 ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 	222 	43 2 21 30 87 2 21 -14 71 2 21 	222 	58 17 36 45 102 17 36 1 86 17 36 	53 	36 36 36 36 36 36 36 36 36 36 36 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3776 	87 85 227 	3776 	87 85 227 	52 	53 53 53 
ENST00000309733 ENST00000489060 	ENST00000493254 ENST00000502413 ENST00000476192 ENST00000497426 ENST00000474698 	7514 2558 	1021 249 7316 7308 5692 	7514 2558 	1021 249 7316 7308 5692 	53 53 	52 52 52 52 52 
ENST00000489244 ENST00000393845 	ENST00000406875 	4823 9798 	8311 	4823 9798 	8311 	52 52 	53 
ENST00000592379 	ENST00000475608 	56 	23 	56 	23 	53 	50 
ENST00000361681 	ENST00000361567 	483 	1687 	483 	1687 	42 	52 
ENST00000471668 ENST00000234115 ENST00000403716 	ENST00000339656 	1947 2114 2214 	5821 	1947 2114 2214 	5821 	52 52 52 	53 
ENST00000562824 ENST00000563088 	ENST00000564370 	936 1003 	818 	936 1003 	818 	53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	294 	1116 1133 	294 	53 53 	52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	628 637 641 523 	359 	628 637 641 523 	42 	53 53 53 53 
ENST00000272317 	ENST00000223095 ENST00000445463 	1023 	1569 1515 	1023 	1569 1515 	48 	52 52 
ENST00000481001 ENST00000438585 ENST00000441576 ENST00000460505 ENST00000341949 ENST00000498498 ENST00000498794 ENST00000440857 ENST00000313778 ENST00000472331 ENST00000467457 ENST00000484831 ENST00000395462 	ENST00000452875 	543 514 1564 1744 1597 963 2848 1877 1831 937 1486 1674 1542 	3756 	543 514 1564 1744 1597 963 2848 1877 1831 937 1486 1674 1542 	3756 	53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000526743 	ENST00000534706 ENST00000530016 	1687 	520 338 	1687 	520 338 	53 	53 53 
ENST00000427908 	ENST00000567272 ENST00000403549 	1274 	580 428 	1278 	595 443 	47 	38 38 
ENST00000489060 	ENST00000481617 	2754 	3101 	2762 	3101 	45 	53 
ENST00000515834 	ENST00000536668 ENST00000535024 ENST00000539853 ENST00000541977 ENST00000546265 ENST00000381852 ENST00000576262 ENST00000573913 ENST00000575512 ENST00000572448 ENST00000576937 ENST00000572837 	3813 	211 226 36 157 392 186 211 226 36 157 392 186 	3813 	211 226 36 157 392 186 211 226 36 157 392 186 	31 	51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000514253 	ENST00000511844 	496 	130 	496 	130 	53 	53 
ENST00000361681 	ENST00000361567 	392 	1755 	392 	1755 	53 	53 
ENST00000352732 ENST00000355100 	ENST00000585042 	7889 7842 	426 	7889 7842 	446 	52 52 	33 
ENST00000413002 	ENST00000435296 ENST00000257696 ENST00000276461 ENST00000592610 	532 	516 588 5698 1634 	540 	518 590 5700 1636 	31 	37 37 37 37 
ENST00000449131 	ENST00000265563 ENST00000454963 ENST00000296446 ENST00000437821 	3416 	715 673 697 131 	3416 	715 673 697 131 	52 	53 53 53 53 
ENST00000606788 ENST00000372484 ENST00000354880 ENST00000191018 ENST00000484855 	ENST00000420868 	3002 2095 1766 1844 2129 	1340 	3004 2097 1768 1846 2131 	1340 	50 50 50 50 50 	52 
ENST00000350119 ENST00000564233 ENST00000564357 	ENST00000304516 ENST00000567705 	1849 3534 1167 	1221 752 	1849 3534 1167 	1221 752 	49 49 49 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000355068 ENST00000575001 ENST00000441206 	1116 1133 	94 150 188 45 	1116 1133 	94 150 188 45 	53 53 	53 53 53 53 
ENST00000558594 ENST00000560246 ENST00000479503 	ENST00000477143 ENST00000493449 	710 749 116 	1977 1903 	722 761 128 	1990 1916 	33 33 33 	39 39 
ENST00000449131 	ENST00000492727 ENST00000450676 	4134 	84 86 	4134 	87 89 	53 	50 50 
ENST00000592379 	ENST00000475608 	72 	7 	72 	7 	53 	51 
ENST00000306888 	ENST00000507206 	3630 	218 	3630 	218 	53 	52 
ENST00000463943 	ENST00000507623 ENST00000380638 	415 	59 59 	415 	59 59 	51 	53 53 
ENST00000445820 	ENST00000383605 ENST00000383619 ENST00000478740 ENST00000376822 ENST00000462536 ENST00000461996 ENST00000492107 ENST00000549224 	258 	330 298 -5 -6 -9 -11 -11 42 	258 	342 310 7 6 3 1 1 54 	53 	41 41 41 41 41 41 41 41 
ENST00000489175 	ENST00000229239 ENST00000396856 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 	1615 	1449 871 934 964 991 862 1328 922 	1635 	1449 871 934 964 991 862 1328 922 	33 	52 52 52 52 52 52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	288 	223 233 	288 	223 233 	53 	53 53 
ENST00000553471 	ENST00000435803 ENST00000411975 ENST00000544596 ENST00000357066 ENST00000431683 ENST00000486034 ENST00000498012 ENST00000455971 ENST00000467068 	3696 	16308 3603 3603 2332 2074 2789 2067 1049 3353 	3696 	16308 3603 3603 2332 2074 2789 2067 1049 3353 	34 	39 39 39 39 39 39 39 39 39 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3493 	809 342 365 360 226 224 366 565 365 397 365 342 	3493 	809 342 365 360 226 224 366 565 365 397 365 342 	53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	97 95 237 	3747 	97 95 237 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	97 95 237 	3747 	97 95 237 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3017 2918 2672 	325 	3017 2918 2672 	325 	53 53 53 	51 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000323250 	3625 1473 2089 	534 	3625 1473 2089 	534 	53 53 53 	53 
ENST00000586748 ENST00000253031 ENST00000592646 ENST00000589971 	ENST00000327064 ENST00000344150 ENST00000586221 	1358 1312 760 754 	2927 2668 2656 	1358 1312 760 754 	2927 2668 2656 	53 53 53 53 	52 52 52 
ENST00000570630 ENST00000448504 	ENST00000592645 ENST00000590402 ENST00000591744 	3514 3514 	108 445 506 	3514 3514 	108 445 506 	50 50 	53 53 53 
ENST00000242505 	ENST00000557141 	4338 	467 	4338 	467 	53 	48 
ENST00000514253 	ENST00000510019 	484 	218 	484 	218 	53 	53 
ENST00000335185 	ENST00000525054 	3762 	475 	3762 	475 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	403 	77 20 	403 	77 20 	53 	52 52 
ENST00000608606 ENST00000601399 	ENST00000314888 ENST00000464379 ENST00000466916 ENST00000465002 ENST00000540444 	360 451 	6609 594 227 449 6291 	360 451 	6609 594 227 449 6291 	51 51 	53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1104 1121 	182 133 	1104 1121 	182 133 	53 53 	53 53 
ENST00000593238 	ENST00000337138 ENST00000394997 ENST00000323441 ENST00000557538 ENST00000539097 	62 	1675 1678 1438 1711 1711 	62 	1675 1678 1438 1711 1711 	53 	31 31 31 31 31 
ENST00000378103 ENST00000378088 ENST00000378094 	ENST00000486056 	3552 1614 3699 	1225 	3552 1614 3699 	1225 	50 50 50 	53 
ENST00000592379 	ENST00000475608 	57 	13 	57 	13 	53 	52 
ENST00000356056 	ENST00000400153 ENST00000512149 	12074 	2104 2379 	12074 	2104 2379 	53 	50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3436 	798 331 349 215 213 554 354 386 354 331 	3436 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	16 	108 	16 	108 	53 	53 
ENST00000592379 	ENST00000582736 	41 	125 	41 	125 	53 	53 
ENST00000607552 	ENST00000455385 ENST00000011473 	851 	1250 1228 	851 	1250 1228 	52 	53 53 
ENST00000281382 	ENST00000557531 ENST00000437982 ENST00000449922 ENST00000415552 ENST00000555758 	1152 	34 452 452 491 452 	1152 	34 452 452 491 452 	53 	37 37 37 37 37 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	77 36 	443 	77 36 	53 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	275 	216 226 	275 	216 226 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	227 178 	1116 1133 	227 178 	53 53 	53 53 
ENST00000453494 ENST00000547059 ENST00000406611 ENST00000550894 ENST00000450128 ENST00000445820 ENST00000421242 ENST00000435665 ENST00000428321 ENST00000428199 ENST00000413313 ENST00000547782 ENST00000539660 	ENST00000468666 ENST00000478186 	197 197 197 439 197 194 197 199 197 194 197 197 197 	44 36 	197 197 197 439 197 194 197 199 197 194 197 197 197 	44 36 	53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 
ENST00000518201 	ENST00000458008 ENST00000427587 ENST00000587161 ENST00000587133 ENST00000585975 ENST00000586444 ENST00000484500 ENST00000340703 	317 	469 591 542 342 643 933 521 459 	317 	469 591 542 342 643 933 521 459 	53 	53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	474 	108 67 	474 	108 67 	53 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	347 	83 26 	347 	83 26 	52 	50 50 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	79 22 	349 	79 22 	51 	51 51 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3764 	209 91 89 231 209 	3764 	209 91 89 231 209 	52 	53 53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4131 	104 306 106 106 	4131 	104 306 106 106 	52 	53 53 53 53 
ENST00000449131 	ENST00000590156 ENST00000586592 ENST00000398752 ENST00000589252 ENST00000589869 ENST00000589611 ENST00000590406 ENST00000590324 ENST00000282050 ENST00000593152 	3743 	586 869 571 246 587 657 588 672 594 839 	3743 	586 869 571 246 587 657 588 672 594 839 	52 	50 50 50 50 50 50 50 50 50 50 
ENST00000511393 	ENST00000509180 	1179 	450 	1179 	450 	52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2950 2851 2605 	241 	2963 2864 2618 	241 	40 40 40 	53 
ENST00000316436 ENST00000575357 	ENST00000474556 ENST00000576212 	1273 1273 	1626 1626 	1273 1273 	1626 1626 	53 53 	53 53 
ENST00000427908 	ENST00000436998 ENST00000425312 ENST00000567272 ENST00000403549 	1831 	273 273 425 273 	1831 	273 273 425 273 	53 	52 52 52 52 
ENST00000361681 ENST00000506002 	ENST00000361567 	425 425 	1530 	425 425 	1530 	53 53 	53 
ENST00000419932 	ENST00000564440 ENST00000565184 ENST00000335181 ENST00000568883 ENST00000565143 ENST00000567118 ENST00000565154 ENST00000568459 ENST00000561609 ENST00000449901 ENST00000319622 ENST00000389093 	279 	2177 1667 1482 1028 1469 1491 1726 1567 1491 1491 1835 1466 	293 	2177 1667 1482 1028 1469 1491 1726 1567 1491 1491 1835 1466 	37 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000602059 ENST00000594998 	ENST00000359898 ENST00000429726 	83 323 	720 996 	83 323 	735 1011 	52 52 	38 38 
ENST00000449131 	ENST00000492727 	4177 	87 	4177 	87 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	89 87 229 	3744 	89 87 229 	53 	53 53 53 
ENST00000562514 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000568503 	431 2745 1898 2656 3421 3471 	1390 	431 2745 1898 2656 3421 3471 	1390 	50 50 50 50 50 50 	53 
ENST00000515834 	ENST00000361547 ENST00000374315 ENST00000354177 	3742 	3366 3247 3264 	3742 	3366 3247 3264 	39 	51 51 51 
ENST00000508814 	ENST00000510019 	304 	237 	304 	237 	50 	53 
