ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000320934 	ENST00000529622 	4551 	392 	4551 	392 	53 	49 
ENST00000309733 ENST00000489060 	ENST00000392385 ENST00000469632 ENST00000409562 ENST00000493254 ENST00000566753 ENST00000604604 	6831 1875 	714 795 2485 1808 1767 838 	6832 1876 	714 795 2485 1808 1767 838 	52 52 	50 50 50 50 50 50 
ENST00000449131 	ENST00000393658 	3500 	405 	3500 	409 	53 	41 
ENST00000361681 ENST00000506002 	ENST00000361567 	424 424 	1712 	424 424 	1712 	40 40 	50 
ENST00000373484 	ENST00000463378 	3355 	825 	3355 	825 	53 	52 
ENST00000335185 	ENST00000525054 	3720 	470 	3720 	470 	51 	51 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	243 241 229 213 	30 	243 241 229 213 	30 	53 53 53 53 	52 
ENST00000604922 	ENST00000360586 ENST00000420358 ENST00000567693 ENST00000421192 ENST00000359167 	230 	3101 3036 1679 3113 1679 	230 	3101 3036 1679 3113 1679 	53 	52 52 52 52 52 
ENST00000592379 	ENST00000475608 	68 	9 	68 	9 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	82 80 222 219 	3744 	82 80 222 219 	53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	184 143 	463 	184 143 	53 	53 53 
ENST00000449131 	ENST00000517577 ENST00000492727 	3742 	222 219 	3742 	222 219 	53 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	277 	224 234 	277 	224 234 	52 	52 52 
ENST00000229214 	ENST00000456650 ENST00000550491 	1881 	632 609 	1881 	632 609 	53 	53 53 
ENST00000327697 ENST00000457726 ENST00000486102 ENST00000487805 ENST00000433785 ENST00000498376 	ENST00000308388 	4213 4408 4464 5784 1458 646 	1488 	4213 4408 4464 5784 1458 646 	1488 	53 53 53 53 53 53 	53 
ENST00000251343 	ENST00000223095 ENST00000445463 	4829 	1591 1537 	4829 	1591 1537 	49 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	456 	160 119 	456 	160 119 	52 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	368 	73 16 	368 	73 16 	53 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	149 108 	484 	149 108 	53 	53 53 
ENST00000263960 	ENST00000273598 	1538 	1757 	1538 	1757 	32 	53 
ENST00000229214 	ENST00000229854 ENST00000596288 ENST00000476448 ENST00000419835 	1257 	1145 1231 390 988 	1267 	1145 1231 390 988 	36 	53 53 53 53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	113 111 313 113 113 	4129 	113 111 313 113 113 	51 	53 53 53 53 53 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000316292 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000434005 ENST00000318052 ENST00000436459 ENST00000501580 	3517 3518 3518 3518 3622 3518 3523 3517 3518 3518 3518 3518 3518 	2249 1876 1379 1502 1256 1254 1257 1252 	3517 3518 3518 3518 3622 3518 3523 3517 3518 3518 3518 3518 3518 	2249 1876 1379 1502 1256 1254 1257 1252 	53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1154 1171 	203 241 	1154 1171 	203 241 	52 52 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3477 	811 344 367 362 228 226 368 567 367 399 367 344 	3477 	811 344 367 362 228 226 368 567 367 399 367 344 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000525566 ENST00000503506 ENST00000526691 ENST00000526390 ENST00000527688 ENST00000429002 ENST00000388854 ENST00000378070 ENST00000397736 ENST00000427956 ENST00000354940 	2089 	2465 2565 2603 2446 2487 2463 2535 2487 2123 2336 2425 	2089 	2465 2565 2603 2446 2487 2463 2535 2487 2123 2336 2425 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 	1283 	612 553 325 388 388 	1283 	612 553 325 388 388 	52 	53 53 53 53 53 
ENST00000592379 	ENST00000437246 	61 	75 	61 	75 	53 	53 
ENST00000449131 	ENST00000517577 	3743 	240 	3743 	240 	52 	53 
ENST00000394511 ENST00000312675 ENST00000543006 ENST00000483793 ENST00000355520 ENST00000558583 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000493254 ENST00000556347 ENST00000229465 	6 13163 13106 3609 7257 5565 15451 2915 2661 	2002 688 832 	6 13163 13106 3609 7257 5565 15451 2915 2661 	2003 689 833 	36 36 36 36 36 36 36 36 36 	46 46 46 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1439 1606 1403 1427 1334 759 1529 1439 	449 	1439 1606 1403 1427 1334 759 1529 1439 	449 	53 53 53 53 53 53 53 53 	53 
ENST00000357721 	ENST00000542781 ENST00000535408 	5337 	701 705 	5337 	701 705 	52 	53 53 
ENST00000449131 	ENST00000517577 ENST00000492727 	3743 	219 216 	3743 	219 216 	52 	53 53 
ENST00000332290 	ENST00000480008 	3495 	1024 	3495 	1024 	53 	51 
ENST00000449131 	ENST00000492727 	4169 	77 	4169 	77 	53 	53 
ENST00000526743 	ENST00000530016 	1882 	345 	1882 	345 	53 	53 
ENST00000531813 ENST00000427522 ENST00000449592 ENST00000481883 ENST00000292853 ENST00000480825 	ENST00000396594 	1109 7317 6830 3070 2099 3943 	4342 	1109 7317 6830 3070 2099 3943 	4342 	33 33 33 33 33 33 	53 
ENST00000592379 	ENST00000582736 	32 	84 	32 	84 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1149 1166 	217 255 	1149 1166 	217 255 	52 52 	51 51 
ENST00000592379 	ENST00000582736 ENST00000475608 	33 	51 36 	33 	51 36 	53 	52 52 
ENST00000354232 	ENST00000493012 	1195 	419 	1195 	419 	53 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3037 2938 2692 	325 	3038 2939 2693 	325 	52 52 52 	51 
ENST00000592379 	ENST00000475608 	72 	7 	72 	7 	53 	51 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1950 1545 1953 	10 	1950 1545 1953 	10 	53 53 53 	52 
ENST00000361681 	ENST00000361567 	493 	1677 	493 	1677 	32 	53 
ENST00000514253 	ENST00000511844 	493 	36 	493 	36 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	144 	1091 1108 	144 	50 50 	53 
ENST00000285071 	ENST00000472149 	3049 	329 	3067 	329 	34 	53 
ENST00000491969 	ENST00000423945 ENST00000415772 ENST00000456312 ENST00000437201 ENST00000571413 ENST00000571977 ENST00000575155 ENST00000570792 	229 	143 78 67 61 143 78 67 61 	229 	143 78 67 61 143 78 67 61 	53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3490 	782 333 166 199 197 338 538 338 370 338 	3490 	782 333 166 199 197 338 538 338 370 338 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000320934 	ENST00000529622 	4526 	350 	4526 	350 	52 	53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1154 1171 	188 226 	1154 1171 	188 226 	52 52 	53 53 
ENST00000261839 ENST00000560809 	ENST00000377386 ENST00000398263 ENST00000282120 	6157 5599 	5043 4695 4401 	6157 5599 	5043 4695 4401 	45 45 	53 53 53 
ENST00000543164 	ENST00000601521 ENST00000596314 ENST00000598495 ENST00000598807 ENST00000596046 ENST00000599232 ENST00000196551 	189 	777 362 380 302 1094 57 317 	189 	777 362 380 302 1094 57 317 	52 	52 52 52 52 52 52 52 
ENST00000523902 ENST00000521211 	ENST00000372989 	399 425 	201 	399 425 	207 	40 40 	32 
ENST00000361681 	ENST00000361567 	462 	1729 	462 	1729 	53 	52 
ENST00000265465 	ENST00000259253 ENST00000375990 	2933 	6403 6687 	2945 	6403 6687 	39 	53 53 
ENST00000366116 	ENST00000570001 ENST00000566633 	87 	2208 2392 	103 	2215 2399 	37 	33 33 
ENST00000475644 ENST00000489063 	ENST00000469249 	1952 205 	547 	1953 206 	547 	52 52 	53 
ENST00000427908 	ENST00000567272 ENST00000403549 	1801 	436 284 	1801 	436 284 	52 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2315 2216 1970 	200 	2316 2217 1971 	200 	52 52 52 	52 
ENST00000569680 	ENST00000366216 	1360 	694 	1381 	694 	32 	52 
ENST00000274255 ENST00000399017 ENST00000321442 ENST00000504366 ENST00000392869 ENST00000491741 ENST00000493504 ENST00000596579 	ENST00000467228 ENST00000599719 ENST00000601309 ENST00000476499 ENST00000378679 ENST00000319854 ENST00000598601 ENST00000373242 ENST00000382021 ENST00000303525 ENST00000556831 ENST00000295065 ENST00000503660 ENST00000507252 ENST00000549235 ENST00000556292 ENST00000366221 ENST00000489047 ENST00000550746 ENST00000460798 ENST00000410026 ENST00000522936 ENST00000517381 ENST00000563376 ENST00000567200 ENST00000358689 ENST00000522255 ENST00000480304 ENST00000547440 ENST00000552279 ENST00000420886 ENST00000267176 ENST00000264036 ENST00000528533 ENST00000525586 ENST00000392814 ENST00000470730 ENST00000338352 ENST00000591516 ENST00000378279 ENST00000523536 ENST00000326737 ENST00000527818 ENST00000325722 ENST00000373266 ENST00000301335 ENST00000493559 ENST00000436580 ENST00000317872 	2852 415 2555 1177 7035 787 1400 492 	2346 106 97 1333 3507 2857 2070 5102 3025 2929 422 3455 153 106 218 261 749 3102 3679 1355 9559 28 28 98 250 2225 789 2011 1609 611 9052 9049 2581 2875 4590 3212 1981 1262 424 540 306 1693 1609 3902 2105 6627 960 2699 2281 	2857 420 2560 1182 7040 792 1405 497 	2346 106 97 1333 3507 2857 2070 5102 3025 2929 422 3455 153 106 218 261 749 3102 3679 1355 9559 28 28 98 250 2225 789 2011 1609 611 9052 9049 2581 2875 4590 3212 1981 1262 424 540 306 1693 1609 3902 2105 6627 960 2699 2281 	48 48 48 48 48 48 48 48 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000508075 ENST00000531169 ENST00000586722 ENST00000458297 ENST00000566753 	3254 764 752 	456 2430 1256 1174 1535 	3254 764 752 	456 2430 1256 1174 1535 	52 52 52 	53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	294 	1116 1133 	294 	53 53 	53 
ENST00000361681 	ENST00000361567 	469 	1679 	469 	1679 	53 	53 
ENST00000444724 ENST00000498273 ENST00000295628 ENST00000227155 ENST00000524750 ENST00000377038 ENST00000265715 	ENST00000265070 	2762 3244 4898 1446 568 1766 4236 	1050 	2762 3244 4898 1446 568 1766 4236 	1050 	53 53 53 53 53 53 53 	53 
ENST00000391833 ENST00000599525 	ENST00000571707 ENST00000506157 ENST00000492184 ENST00000498286 ENST00000409458 	1528 43 	1293 4770 2768 3831 1063 	1528 43 	1306 4783 2781 3844 1076 	39 39 	40 40 40 40 40 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	173 132 	482 	173 132 	53 	53 53 
ENST00000514253 	ENST00000511844 	512 	104 	512 	104 	53 	53 
ENST00000373484 	ENST00000463378 	3354 	797 	3354 	797 	53 	53 
ENST00000400815 ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 ENST00000563731 	ENST00000357037 	3247 3318 3244 3257 3570 3327 3247 	2239 	3249 3320 3246 3259 3572 3329 3249 	2239 	51 51 51 51 51 51 51 	53 
ENST00000381661 	ENST00000381611 ENST00000540494 	1891 	1537 1467 	1891 	1537 1467 	53 	53 53 
ENST00000393965 ENST00000290418 ENST00000545087 ENST00000563815 ENST00000378228 ENST00000378217 ENST00000419639 	ENST00000461837 ENST00000412144 ENST00000383198 ENST00000548408 ENST00000437104 ENST00000495024 ENST00000383067 ENST00000383066 ENST00000551943 ENST00000510524 ENST00000434618 ENST00000526746 ENST00000300747 ENST00000531101 ENST00000467834 ENST00000374568 ENST00000374572 ENST00000480059 ENST00000437315 ENST00000417059 ENST00000558871 ENST00000409236 ENST00000317233 ENST00000356421 ENST00000431837 ENST00000312019 ENST00000462812 ENST00000602840 	2977 2718 2144 1480 1365 1457 444 	1938 2731 2813 1934 25 1927 2724 2806 2545 238 2806 173 2541 2484 1934 2731 2813 1934 2731 2813 872 5697 5820 5803 3175 1317 378 2505 	2977 2718 2144 1480 1365 1457 444 	1938 2731 2813 1934 25 1927 2724 2806 2545 238 2806 173 2541 2484 1934 2731 2813 1934 2731 2813 872 5697 5820 5803 3175 1317 378 2505 	44 44 44 44 44 44 44 	40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
ENST00000395127 	ENST00000532047 ENST00000530909 	353 	448 3228 	353 	448 3228 	52 	53 53 
ENST00000258873 	ENST00000559803 ENST00000561366 ENST00000441490 	4695 	878 133 830 	4710 	878 133 830 	38 	53 53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 	1289 	617 558 330 393 393 	1290 	617 558 330 393 393 	52 	53 53 53 53 53 
ENST00000352732 ENST00000355100 	ENST00000585042 	8058 8011 	142 	8058 8011 	142 	51 51 	52 
ENST00000495934 	ENST00000344191 ENST00000351017 ENST00000392108 ENST00000366809 ENST00000447894 ENST00000400822 ENST00000511637 ENST00000509296 ENST00000366806 ENST00000392112 	307 	3856 3877 3826 3636 3684 3681 2274 324 3826 3775 	307 	3856 3877 3826 3636 3684 3681 2274 324 3826 3775 	52 	52 52 52 52 52 52 52 52 52 52 
ENST00000281382 	ENST00000432183 ENST00000482449 ENST00000494370 ENST00000437982 	1259 	636 596 142 384 	1259 	636 596 142 384 	53 	52 52 52 52 
ENST00000392385 ENST00000508075 ENST00000549369 ENST00000531169 ENST00000502413 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000481617 ENST00000295025 	ENST00000538183 	491 465 516 2439 812 1265 1183 1544 3735 8245 	7688 	491 465 516 2439 812 1265 1183 1544 3735 8245 	7690 	36 36 36 36 36 36 36 36 36 36 	50 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	238 189 	1116 1133 	238 189 	53 53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	105 307 107 107 	4129 	105 307 107 107 	51 	52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3494 	789 322 340 173 206 204 345 545 345 377 345 322 	3494 	789 322 340 173 206 204 345 545 345 377 345 322 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	91 	41 	98 	37 	45 
ENST00000296257 	ENST00000322611 	4372 	1698 	4382 	1698 	31 	53 
ENST00000366555 	ENST00000469376 ENST00000490673 	520 	1857 1712 	521 	1857 1712 	50 	41 41 
ENST00000487349 ENST00000515033 ENST00000389601 	ENST00000288266 	1603 627 1603 	2121 	1603 627 1603 	2121 	52 52 52 	53 
ENST00000482278 	ENST00000482153 	570 	474 	570 	474 	53 	53 
ENST00000344746 ENST00000424325 ENST00000595651 ENST00000607648 	ENST00000217426 ENST00000480653 ENST00000538132 	2077 2117 2117 2077 	1318 1388 1543 	2077 2117 2117 2077 	1318 1388 1543 	52 52 52 52 	53 53 53 
ENST00000380738 ENST00000380733 	ENST00000380821 	3252 3279 	5551 	3252 3279 	5551 	53 53 	53 
ENST00000592379 	ENST00000475608 	54 	13 	54 	13 	53 	52 
ENST00000340001 ENST00000453985 ENST00000370732 ENST00000583367 	ENST00000475185 ENST00000383233 ENST00000477053 ENST00000473688 	5880 5626 5716 283 	2248 2836 2761 2843 	5880 5626 5716 283 	2266 2854 2779 2861 	32 32 32 32 	35 35 35 35 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3420 	804 337 355 221 219 361 560 360 392 360 337 	3430 	804 337 355 221 219 361 560 360 392 360 337 	43 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3487 	829 362 385 380 386 387 385 362 	3487 	829 362 385 380 386 387 385 362 	51 	53 53 53 53 53 53 53 53 
ENST00000336557 ENST00000258807 	ENST00000396802 	2339 2224 	1871 	2339 2224 	1871 	53 53 	53 
ENST00000443864 ENST00000251195 ENST00000324134 ENST00000535162 ENST00000351894 ENST00000354278 ENST00000318348 	ENST00000281589 ENST00000518293 ENST00000520868 ENST00000318607 ENST00000519004 ENST00000522387 ENST00000523636 ENST00000517990 ENST00000522658 	1591 4406 3688 3568 3403 3232 1320 	1823 18 399 2930 2029 2021 606 301 442 	1591 4406 3688 3568 3403 3232 1320 	1823 18 399 2930 2029 2021 606 301 442 	53 53 53 53 53 53 53 	52 52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	81 24 	366 	81 24 	53 	52 52 
ENST00000451608 	ENST00000409601 	4844 	572 	4844 	572 	52 	52 
ENST00000271375 	ENST00000379010 	7207 	2915 	7210 	2928 	48 	31 
ENST00000449131 	ENST00000492727 	4171 	103 	4171 	103 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4160 	102 104 	4160 	102 104 	51 	53 53 
ENST00000427908 	ENST00000431591 ENST00000397651 	1823 	312 504 	1823 	312 504 	53 	53 53 
ENST00000396700 ENST00000548724 ENST00000323944 	ENST00000374523 ENST00000428849 ENST00000448818 	2775 2775 2892 	2383 2383 2383 	2775 2775 2892 	2383 2383 2383 	41 41 41 	51 51 51 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3005 2906 2660 	258 	3005 2906 2660 	258 	53 53 53 	52 
ENST00000592379 	ENST00000582736 	16 	98 	16 	98 	53 	53 
ENST00000361681 	ENST00000361567 ENST00000511037 	391 	1780 1780 	391 	1780 1780 	53 	32 32 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3758 	98 96 238 	3759 	98 96 238 	52 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	275 	217 227 	275 	217 227 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	285 	77 20 	285 	77 20 	53 	52 52 
ENST00000314675 	ENST00000319041 	2089 	445 	2089 	445 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	486 	178 137 	486 	178 137 	51 	52 52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4128 	104 306 106 106 	4128 	104 306 106 106 	52 	53 53 53 53 
ENST00000478691 	ENST00000253332 ENST00000354675 ENST00000402676 ENST00000359755 	-14 	2039 1729 2090 1632 	0 	2039 1729 2090 1632 	31 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	103 101 243 	3759 	103 101 243 	52 	52 52 52 
ENST00000550534 ENST00000550321 	ENST00000476149 ENST00000492481 ENST00000550977 ENST00000518152 ENST00000519167 ENST00000556347 ENST00000229465 	605 601 	2702 211 1771 538 328 533 677 	619 615 	2702 211 1771 538 328 533 677 	37 37 	53 53 53 53 53 53 53 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2278 	528 567 425 1654 	2278 	528 567 425 1654 	51 	53 53 53 53 
ENST00000592379 	ENST00000582736 	43 	119 	46 	119 	50 	53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 ENST00000431591 ENST00000397651 	1276 	611 552 324 387 387 387 579 	1276 	611 552 324 387 387 387 579 	53 	53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3496 	826 359 382 377 383 384 382 359 	3496 	826 359 382 377 383 384 382 359 	53 	53 53 53 53 53 53 53 53 
ENST00000444246 	ENST00000412938 ENST00000504931 	135 	3218 7417 	135 	3218 7417 	51 	52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3490 	819 352 375 370 376 377 575 375 375 352 	3490 	819 352 375 370 376 377 575 375 375 352 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3005 2906 2660 	223 	3007 2908 2662 	223 	51 51 51 	53 
ENST00000579192 ENST00000380067 ENST00000585311 ENST00000580340 ENST00000579681 ENST00000396278 	ENST00000580777 	1295 804 864 790 823 1371 	672 	1295 804 864 790 823 1371 	672 	53 53 53 53 53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	230 55 	443 	230 55 	53 	52 52 
ENST00000373484 	ENST00000414241 ENST00000458695 	3190 	1620 1519 	3190 	1620 1519 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	186 145 	484 	186 145 	53 	51 51 
ENST00000246186 	ENST00000316939 	3919 	303 	3919 	303 	53 	50 
ENST00000335185 	ENST00000525054 	3730 	481 	3730 	481 	53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	101 99 241 	3744 	101 99 241 	53 	53 53 53 
ENST00000526743 	ENST00000526711 	1128 	815 	1128 	815 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	268 	1152 1169 	268 	53 53 	40 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	183 142 	443 	183 142 	53 	51 51 
ENST00000229214 	ENST00000456650 ENST00000550491 	1978 	613 590 	1978 	613 590 	53 	53 53 
ENST00000568313 	ENST00000567173 ENST00000563505 ENST00000566181 	774 	569 620 293 	774 	569 620 293 	53 	53 53 53 
ENST00000518592 ENST00000325897 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000356005 ENST00000456923 ENST00000461974 ENST00000485567 ENST00000460217 ENST00000438981 ENST00000359671 	2815 3421 	6068 6687 6414 6791 7558 6339 6149 6144 2299 281 238 466 430 6414 	2815 3421 	6068 6687 6414 6791 7558 6339 6149 6144 2299 281 238 466 430 6414 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000419932 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000494446 ENST00000469569 ENST00000473614 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	142 	6731 7350 7077 6540 7547 8221 7002 6812 6812 6900 3055 205 46 282 7170 6645 6564 6671 	152 	6731 7350 7077 6540 7547 8221 7002 6812 6812 6900 3055 205 46 282 7170 6645 6564 6671 	38 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000475608 	72 	23 	72 	23 	53 	50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3494 	793 326 344 210 208 549 349 381 349 326 	3495 	793 326 344 210 208 549 349 381 349 326 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	494 	37 	495 	37 	52 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1104 1121 	291 	1104 1121 	291 	53 53 	53 
ENST00000604922 	ENST00000487100 ENST00000382175 	344 	256 130 	344 	256 130 	31 	53 53 
ENST00000361681 	ENST00000361567 	469 	1743 	469 	1743 	53 	53 
ENST00000443002 ENST00000596802 	ENST00000540391 	1747 2393 	873 	1748 2394 	873 	52 52 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1098 1115 	160 	1098 1115 	160 	53 53 	49 
ENST00000419932 	ENST00000513858 ENST00000395310 ENST00000443462 ENST00000509142 ENST00000508502 ENST00000505984 ENST00000508479 ENST00000436790 ENST00000507816 ENST00000511975 ENST00000507340 ENST00000507867 ENST00000510310 ENST00000432794 ENST00000448323 ENST00000326950 ENST00000311785 	132 	16 129 41 77 66 11 16 47 68 41 103 41 124 110 110 110 110 	152 	16 129 41 77 66 11 16 47 68 41 103 41 124 110 110 110 110 	33 	48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	80 23 	365 	80 23 	53 	50 50 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	79 22 	376 	79 22 	53 	51 51 
ENST00000309733 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	ENST00000429412 ENST00000546113 	7030 5091 5091 3281 5090 791 779 	2329 2329 	7030 5091 5091 3281 5090 791 779 	2329 2329 	52 52 52 52 52 52 52 	52 52 
ENST00000514253 	ENST00000510019 ENST00000429775 	444 	230 55 	444 	230 55 	53 	52 52 
ENST00000592379 	ENST00000582736 	38 	98 	38 	106 	53 	45 
ENST00000518858 	ENST00000379454 	2924 	4511 	2924 	4511 	53 	52 
ENST00000463943 	ENST00000318008 ENST00000435347 	286 	3188 2580 	286 	3188 2580 	53 	53 53 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1408 	564 601 295 	1408 	571 608 302 	53 	34 34 34 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	178 	1093 1110 	185 	53 53 	46 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3416 	784 335 168 201 199 340 340 372 340 	3416 	784 335 168 201 199 340 340 372 340 	52 	53 53 53 53 53 53 53 53 53 
ENST00000523731 	ENST00000224237 ENST00000487938 ENST00000469543 ENST00000421459 ENST00000495528 ENST00000544301 	3821 	979 979 917 312 572 1247 	3821 	979 979 917 312 572 1247 	53 	53 53 53 53 53 53 
ENST00000430252 ENST00000540275 	ENST00000599232 	435 435 	38 	435 435 	38 	53 53 	53 
ENST00000409887 	ENST00000302759 ENST00000478175 ENST00000535254 	3014 	2733 609 2622 	3014 	2733 609 2622 	53 	53 53 53 
ENST00000537553 ENST00000216024 	ENST00000556922 ENST00000554444 ENST00000315491 ENST00000555609 ENST00000304984 	2432 1998 	2172 1375 1160 1333 3116 	2432 1998 	2172 1375 1160 1333 3116 	53 53 	53 53 53 53 53 
